CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_RESE,IND_ACCO,IND_LIVI,IND_EDUC,IND_MEDI,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,220189,17388,46.42,4743.4,120741,-,217633,22250,156677,41250,1225,372808,249422,436,18282,210640,395,41,20,12934,5328,2074,18164,6178,47719,14026,8915,13181,22465,9858,7075,21042,989,27376,13652,17990
01102,278781,5904,63.48,4391.6,127440,-,261235,34185,187505,55946,1541,269420,104208,501,16034,80348,490,11,8,12302,3724,324,3342,4679,18901,2193,2853,3945,6359,3924,9514,12840,392,7803,3603,7001
01103,255873,1877,57.13,4478.8,118939,-,249599,31210,174326,49369,964,243059,105030,425,19666,73496,416,9,5,12613,7048,452,1572,7819,22424,1263,2780,3154,4854,3665,3632,11898,482,7031,2922,10991
01104,204259,2952,34.58,5906.9,100444,-,200377,23698,140875,38818,488,201654,97707,267,17915,68376,260,7,2,11174,6739,218,1762,10826,20347,1571,2504,2791,4007,3563,2264,10727,261,6546,1207,10931
01105,212118,2690,46.35,4576.4,107179,-,210803,23513,145007,42734,897,190442,72759,166,8815,53612,159,7,3,6006,2806,351,2542,2707,12879,1353,2379,3400,4774,3269,3671,9505,259,5037,1837,9815
01106,146341,-6680,657.23,222.7,62776,-,127198,15622,92635,37555,383,128223,46634,467,4754,36135,465,2,41,3723,990,233,503,2140,6933,732,996,1095,3656,2303,2852,7186,215,2922,4602,5045
01107,211229,3900,74.93,2819,96421,-,209283,24804,140434,45299,458,189655,79491,236,14587,55177,233,3,3,6208,8376,206,1042,5593,16099,1117,1963,2413,3904,3100,2795,10234,262,4663,1992,9285
01108,128492,-1228,24.38,5270.4,54099,-,126264,15364,84942,28185,359,117056,45243,166,5199,35992,166,0,2,2745,2452,195,2256,4504,8520,871,1055,1672,2652,1772,2384,6081,230,2956,1039,3691
01109,139644,2043,56.92,2453.3,55050,-,134390,17447,92107,30087,198,115568,38597,228,6236,29105,227,1,10,3344,2882,132,312,3087,7178,498,701,688,2091,1834,2309,7225,183,2119,880,2896
01110,116619,3836,59.7,1953.4,42759,-,109617,16119,77805,22553,358,97650,32687,221,5235,25058,221,0,1,3587,1647,46,444,2641,7384,474,647,723,1938,1662,1812,4766,127,1939,501,2127
01202,279127,-15137,677.93,411.7,126180,-,240101,30474,171405,76637,667,286732,127295,4237,20207,94047,881,3356,28,10408,9771,623,1440,7780,23244,3204,2074,2505,9738,5749,5465,17211,812,8671,6154,8181
01203,131928,-10233,243.3,542.2,57711,-,113799,13105,77215,41607,379,134026,55702,731,11167,42315,280,451,34,3410,7723,282,259,4125,10766,1362,740,967,4434,2626,2641,8483,336,3350,2226,1207
01204,347095,-7909,747.6,464.3,154393,-,319717,40260,213269,91937,568,348932,155057,3683,25962,118426,3676,7,25,14563,11374,735,1590,9129,30414,3881,2622,3768,9579,6635,6820,24150,970,10364,8504,6251
01205,94535,-3837,80.65,1172.2,45029,-,77222,10484,56279,27699,263,103303,47062,294,13777,31228,105,189,3,5498,8276,339,625,3035,7166,998,512,1415,2529,1766,2013,5595,214,3305,2055,1424
01206,181169,-9309,1362.75,132.9,81015,-,160602,21772,113635,45737,358,182016,79145,1854,14152,58934,1010,844,441,7070,6641,493,690,6096,14334,2273,1154,2041,5679,3239,3357,10216,556,5531,3768,3712
01207,168057,-2523,618.94,271.5,75474,-,150337,21472,109040,37544,422,175656,86019,3295,14123,61197,3278,17,23,8277,5823,300,850,4404,16829,2286,1313,2458,5345,3482,3365,9999,496,5269,5101,7104
01208,125689,-3676,1427.56,88,56012,-,83231,15283,78202,31872,261,125627,57676,4061,9960,39567,3558,503,59,5719,4182,349,690,3196,10811,1399,740,1221,3519,2249,2520,6848,637,3652,2085,3739
01209,10922,-2079,763.2,14.3,5558,-,0,719,5417,4786,54,11446,5187,651,1467,3032,651,0,3,669,795,34,8,229,576,36,26,47,361,203,215,509,114,413,295,3
01210,90145,-3532,481.1,187.4,36723,-,55775,10253,54834,25032,118,86846,36343,3546,6076,25693,3546,0,24,3305,2747,146,222,2005,6369,694,459,828,1985,1523,1524,5108,444,2208,2324,882
01211,40998,-1047,471,87,18112,-,28767,5061,26578,9324,169,41591,19084,2158,3236,12839,1482,676,2,1555,1679,54,111,851,2670,345,183,718,1357,695,911,2083,215,1076,1624,797
01212,24457,-2369,297.51,82.2,11044,-,19284,2751,14807,6899,113,24916,11843,336,2540,8804,243,93,4,1346,1190,65,101,719,1794,278,120,451,603,404,378,1485,95,714,1662,98
01213,173320,562,561.48,308.7,76289,-,140789,23476,113284,36515,378,173468,80947,998,20143,53315,847,151,227,9048,10868,634,543,8649,12793,1494,1116,1378,4403,3569,2759,8580,247,5654,2130,5857
01214,39595,-1997,760.89,52,17343,-,32520,4807,25125,9663,267,39775,18596,1458,3697,11819,534,924,8,1737,1952,77,92,1066,2841,392,191,421,1099,670,737,1471,239,1091,1509,1545
01215,26034,-3049,277.61,93.8,10992,-,11846,2573,14887,8555,75,25829,10788,1582,2151,6830,1582,0,25,1155,971,53,36,459,1131,124,82,150,532,395,630,1646,253,563,829,172
01216,16628,-2271,865.02,19.2,7526,-,8090,1429,8791,6407,59,16256,6490,711,1695,3976,710,1,46,424,1225,28,11,204,903,82,34,52,380,266,257,950,79,374,384,80
01217,123722,-1879,187.57,659.6,51170,-,111560,15041,81565,27008,282,110114,37205,1426,6988,26626,1423,3,0,3159,3829,170,285,2813,6497,464,609,936,2111,1413,3181,4492,256,2316,1253,1995
01218,12637,-1764,129.88,97.3,5585,-,0,1072,6655,4909,42,12816,5296,210,1564,3489,209,1,16,411,1137,13,6,235,642,50,25,20,191,568,166,970,42,260,314,20
01219,24750,-1882,830.7,29.8,11390,-,16732,2774,14855,7103,336,24757,12176,1058,3256,7485,572,486,20,993,2243,87,41,694,1912,243,110,221,698,507,536,1121,216,644,542,290
01220,21787,-1624,1119.29,19.5,9100,-,12224,2584,12069,7134,60,21747,10324,1986,1801,6325,1983,3,13,1079,709,41,30,489,1448,171,65,357,553,332,429,1236,237,510,468,171
01221,30591,-1037,535.23,57.2,13348,-,19868,3767,18597,8227,134,30895,14927,1804,1672,11275,1804,0,15,972,685,134,76,712,2423,311,117,216,884,578,715,1943,216,813,2271,42
01222,10221,-1706,302.64,33.8,4776,-,0,773,5121,4327,13,10439,4116,339,1086,2643,339,0,36,374,676,26,4,152,730,31,24,44,166,149,146,606,49,287,255,22
01223,29201,-2001,412.78,70.7,11897,-,16963,3565,17899,7732,318,29337,15263,3091,3620,8271,384,2707,7,844,2769,96,58,588,2171,352,94,184,770,452,497,1042,320,615,1128,185
01223X,0,0,99.94,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01224,93604,2167,594.95,157.3,38541,-,78977,13883,63261,16293,305,98026,50182,1281,9290,36728,1267,14,15,2776,6499,172,165,4318,6478,525,1031,717,3061,1999,1480,3291,184,3088,10391,2711
01225,43170,-2392,115.82,372.7,18947,-,31469,5132,26067,11912,57,42955,18943,899,2883,14023,899,0,5,2060,818,90,104,1075,3413,515,233,430,1165,870,787,2702,165,1122,1442,1048
01226,19056,-1012,78.69,242.2,8415,-,9562,2147,10977,5932,22,19559,8914,494,1974,6247,494,0,18,1098,858,156,12,570,1639,119,79,75,498,394,314,1490,143,572,342,43
01227,4387,-834,55.99,78.4,2000,-,0,337,2242,1808,12,3880,1137,13,216,901,13,0,28,132,56,5,3,41,139,9,0,4,76,58,62,266,9,111,123,2
01228,23709,-2129,529.23,44.8,10100,-,11217,2295,13128,8284,84,23945,10799,2071,1213,7379,2071,0,12,718,483,67,21,500,1536,166,109,327,583,413,505,1812,238,675,494,69
01229,24259,-817,600.97,40.4,10074,-,14581,3155,14591,6512,101,25083,12882,2545,1774,8389,2545,0,8,1097,669,53,22,757,1818,164,92,208,1280,367,581,1495,320,786,499,121
01230,51526,-1609,212.11,242.9,21717,-,39408,6086,30802,14612,82,44543,15466,270,2890,12154,175,95,0,1762,1128,61,40,809,2754,163,197,211,1985,705,775,2124,88,1238,1065,91
01231,69384,1770,294.87,235.3,27634,-,62946,9690,45110,14427,177,65782,27048,1122,6447,18099,1118,4,5,1732,4710,106,88,1482,3508,280,299,408,1530,1264,1337,2790,214,1144,3755,1274
01233,36278,-788,444.28,81.7,15287,-,22078,4276,20959,11040,104,34597,14546,1705,2274,9991,1462,243,11,1241,1022,108,43,446,2371,266,160,176,984,754,680,2604,210,814,483,468
01234,60353,-324,118.54,509.1,22991,-,51257,8083,38693,13547,115,58795,24808,624,4362,18480,623,1,4,1825,2533,72,124,3627,4732,191,402,316,1033,1704,1384,2758,150,1453,606,1270
01235,59449,-655,721.86,82.4,22603,-,44351,8063,37624,13761,114,61412,28550,1566,7519,18488,1301,265,19,3123,4377,108,63,4665,4880,164,296,395,839,1393,947,2465,210,1457,714,869
01236,48032,-24,397.3,120.9,18412,-,30262,7217,30038,10749,61,43300,18414,1782,4836,11391,1598,184,18,1957,2861,21,37,1596,3412,164,181,330,788,639,685,1865,242,1005,447,384
01303,18766,-1216,422.71,44.4,7400,-,6683,2158,11931,4594,27,18078,7371,1401,1512,4246,1401,0,15,838,659,23,8,208,804,53,74,124,314,380,596,677,147,399,462,189
01304,3515,-222,78.24,44.9,1086,-,0,402,2059,1054,2,3678,1802,798,137,816,798,0,0,113,24,0,2,29,102,7,2,1,66,62,163,186,66,43,87,51
01331,8748,-1373,293.12,29.8,3959,-,0,791,4633,3324,22,8440,3410,443,995,1956,66,377,1,264,730,12,6,94,447,56,7,38,155,108,139,349,67,96,394,4
01332,5114,-783,187.25,27.3,2194,-,0,446,2796,1872,15,4919,2088,328,699,1039,33,295,8,272,419,21,1,44,270,12,10,60,72,62,79,146,34,127,122,1
01333,5074,-373,196.67,25.8,2009,-,0,636,2936,1502,1,5017,2421,677,741,889,510,167,4,334,403,101,9,44,137,12,8,51,87,47,112,114,72,84,112,13
01334,5341,-683,221.89,24.1,2317,-,0,442,2830,2069,28,5288,2270,226,567,1471,156,70,0,416,151,3,3,164,346,22,13,120,96,61,64,310,37,72,163,3
01337,28463,39,216.61,131.4,10891,-,13069,3607,16924,7922,40,24632,9427,1245,2114,5300,1235,10,9,852,1253,62,20,605,975,47,77,81,467,373,442,1353,120,445,295,706
01343,4767,-152,110.61,43.1,1675,-,0,536,2911,1320,45,4675,2143,780,458,899,23,757,0,91,367,2,1,43,167,8,1,4,121,96,77,143,56,79,103,4
01345,17859,-1290,368.27,48.5,7103,-,0,2185,10462,5212,196,18072,8844,1989,2660,4156,820,1169,8,739,1913,29,7,351,1010,161,27,83,362,337,278,741,133,326,340,10
01346,18896,-1235,955.98,19.8,7892,-,8137,2339,11519,5037,90,18918,9112,1774,1746,5416,834,940,7,889,850,71,9,327,1176,113,55,161,480,257,408,1228,155,390,657,105
01347,6386,-617,310.84,20.5,2847,-,0,582,3572,2232,52,6444,2855,558,661,1616,164,394,1,221,439,18,2,192,339,39,3,12,237,85,125,200,57,195,130,2
01361,9004,-1127,109.59,82.2,3968,-,5499,1041,5221,2742,10,9676,4340,346,585,3367,240,106,6,410,169,41,13,214,632,168,28,150,230,177,197,738,47,262,511,1
01362,5428,-989,547.6,9.9,2307,-,0,625,2962,1841,23,5012,1889,390,582,907,269,121,7,343,232,5,1,39,190,15,3,14,73,73,101,163,39,64,132,5
01363,4409,-366,460.42,9.6,1868,-,0,484,2393,1532,26,4515,2357,827,397,1128,825,2,2,256,139,5,0,88,190,19,12,12,83,73,95,193,149,94,120,0
01364,4408,-408,162.56,27.1,1863,-,0,495,2397,1516,1,3931,1481,256,416,803,171,85,2,249,165,3,10,20,181,13,6,5,78,45,60,166,49,48,122,3
01367,3033,-610,142.98,21.2,1364,-,0,317,1723,993,4,3055,1478,191,222,1051,36,155,1,185,36,14,1,87,154,11,5,15,123,36,91,117,29,82,300,0
01370,6186,-280,568.14,10.9,2388,-,0,659,3480,2047,16,6059,2957,904,462,1581,903,1,1,326,135,8,3,112,324,34,11,41,124,69,167,322,93,148,133,2
01371,9590,-1158,638.67,15,4169,-,0,1019,4961,3610,28,9628,4252,1103,660,2476,845,258,16,485,159,10,5,162,480,33,17,37,212,123,218,551,156,200,282,3
01391,1781,-215,437.26,4.1,742,-,0,179,926,676,0,1702,725,201,137,385,36,165,0,50,87,1,0,13,56,4,0,3,32,7,31,115,27,26,71,1
01392,3443,-301,95.37,36.1,1536,-,0,336,1892,1215,50,3516,1575,178,416,973,39,139,2,181,233,6,1,67,208,21,0,1,55,54,65,281,30,74,116,2
01393,3250,-207,345.47,9.4,1353,-,0,398,1699,1153,6,3238,1467,241,216,999,241,0,1,114,101,10,1,25,118,7,9,24,78,39,94,419,17,54,114,1
01394,5292,-510,449.68,11.8,2129,-,0,641,2905,1746,15,5048,2411,742,361,1296,733,9,2,320,39,2,2,60,293,16,11,43,132,50,103,293,55,95,143,10
01395,4823,154,197.13,24.5,2054,-,0,589,3027,1207,73,4735,2271,478,223,1554,478,0,2,165,56,9,12,104,208,21,30,13,540,145,87,129,35,131,99,7
01396,2189,-165,114.43,19.1,867,-,0,235,1288,666,1,2223,1292,564,69,654,564,0,0,60,9,2,1,64,111,5,1,25,62,20,64,97,62,56,86,3
01397,2034,-131,119.92,17,883,-,0,261,1252,502,26,2469,1672,432,90,1136,432,0,0,54,36,0,0,74,105,6,8,1,502,159,50,76,30,52,73,14
01398,2490,-217,189.51,13.1,1207,-,0,230,1452,808,2,2339,1202,300,275,625,300,0,2,154,119,0,5,68,141,9,3,1,72,20,42,96,29,51,88,2
01399,3811,228,231.61,16.5,1740,-,0,441,2267,1100,8,4007,2335,385,904,1021,384,1,7,652,245,22,3,103,150,9,21,37,116,41,48,251,44,104,94,3
01400,15568,-608,261.24,59.6,7102,-,10957,2181,10045,3342,249,16216,8488,766,978,6653,766,0,0,677,301,83,35,426,1219,117,227,167,943,464,287,884,169,641,1074,8
01401,6428,-684,304.96,21.1,2698,-,0,835,3814,1779,7,5974,2933,996,579,1324,996,0,5,366,208,23,1,146,316,8,22,62,83,39,107,150,101,156,133,11
01402,14451,-1293,70.63,204.6,6555,-,12891,1667,8396,4384,26,13685,5835,193,1636,3902,67,126,0,931,705,37,10,238,993,157,47,87,486,263,223,667,56,380,295,67
01403,1883,-302,82.35,22.9,855,-,0,256,1016,611,2,2980,1974,69,604,816,3,66,2,579,23,484,8,12,65,1,5,186,92,14,46,94,26,187,80,1
01404,1122,-197,147.71,7.6,473,-,0,100,538,484,0,1061,445,103,45,295,1,102,0,28,17,2,0,9,36,0,0,1,36,15,23,91,8,25,51,0
01405,2516,-344,238.21,10.6,1175,-,0,218,1285,1013,1,2293,1046,316,105,625,82,234,0,86,19,0,0,25,120,3,3,0,176,37,44,39,32,46,100,0
01406,3611,-410,188.41,19.2,1588,-,0,279,2002,1330,31,3600,1755,254,679,809,35,219,3,194,482,8,1,43,134,16,1,3,62,46,54,223,40,79,107,5
01407,3800,-167,167.93,22.6,1493,-,0,396,2141,1263,115,3911,2019,987,145,874,985,2,1,71,73,2,0,48,137,12,4,2,55,21,84,277,69,59,106,11
01408,21258,-1476,140.6,151.2,9051,-,10338,2371,12215,6672,87,20464,8727,1417,1500,5740,1228,189,2,613,885,54,18,340,1631,184,57,146,418,338,414,1263,145,383,403,16
01409,1262,-48,280.11,4.5,619,-,0,170,746,346,3,1451,916,253,107,546,253,0,0,82,25,7,0,25,30,0,2,1,250,32,35,46,15,54,56,3
01423,8778,-786,81.49,107.7,3068,-,0,1025,5679,2074,37,7480,3398,857,617,1820,857,0,1,255,361,1,5,197,262,11,21,34,145,135,241,379,95,153,142,103
01424,6194,-642,88.05,70.3,2622,-,0,656,3358,2180,11,6681,3318,440,1421,1368,440,0,12,496,913,80,0,79,221,16,8,32,114,79,102,338,57,183,139,9
01425,4086,-684,39.91,102.4,1954,-,0,355,1996,1735,11,3811,1043,100,367,570,100,0,14,127,226,5,1,35,108,7,2,0,27,44,44,128,10,66,98,1
01427,5896,-581,133.86,44,2258,-,0,621,3269,2006,17,5894,3123,1114,539,1443,1114,0,23,184,332,8,2,96,331,10,5,23,141,233,91,171,51,175,114,19
01428,11691,-710,168.36,69.4,4324,-,0,1338,6877,3476,5,11645,6291,1984,695,3344,1984,0,8,427,260,21,4,189,620,44,22,317,289,211,173,646,128,301,400,247
01429,13340,-1012,203.84,65.4,5484,-,7037,1484,7481,4366,43,13497,6544,1369,1493,3583,1369,0,5,468,1020,34,12,254,924,86,36,70,258,245,207,709,128,371,283,65
01430,4859,74,151.05,32.2,1511,-,0,327,3188,1343,15,5200,2186,608,272,1292,608,0,0,134,138,4,2,32,161,13,7,3,109,53,99,325,52,109,327,10
01431,2206,-211,101.08,21.8,920,-,0,227,1173,806,4,2162,1151,594,135,420,594,0,0,69,66,0,0,20,63,5,0,30,30,16,39,87,31,40,59,2
01432,7249,-435,495.62,14.6,2694,-,0,858,3936,2455,7,6685,3014,973,427,1580,973,0,18,324,85,9,0,94,185,11,8,78,87,77,114,473,115,180,158,25
01433,3462,-481,48.55,71.3,1356,-,0,347,1820,1295,0,3447,1662,544,412,702,544,0,14,168,230,2,1,57,163,9,2,9,43,40,34,127,61,72,84,2
01434,2730,-273,47.26,57.8,1052,-,0,253,1454,1023,2,2617,1277,494,163,619,494,0,0,116,47,1,0,41,93,7,11,2,62,41,39,123,76,60,64,0
01436,3049,-267,190.91,16,1067,-,0,323,1700,1026,2,3041,1434,536,101,792,536,0,1,92,8,1,0,57,114,6,0,8,47,20,160,192,35,81,72,4
01437,2193,-183,158.82,13.8,805,-,0,215,1123,855,0,2180,1175,549,164,461,549,0,0,144,20,0,0,7,95,5,1,2,59,15,31,98,34,44,70,1
01438,3612,-429,283.21,12.8,1437,-,0,357,1984,1271,0,3551,1892,531,328,1015,531,0,1,209,118,12,0,34,153,12,0,21,106,32,81,209,69,90,208,6
01452,7345,84,139.44,52.7,2732,-,0,1159,4214,1972,3,6521,2724,767,351,1582,767,0,1,216,134,4,2,195,242,6,12,87,57,112,209,340,58,120,142,20
01453,9292,98,68.64,135.4,3290,-,0,1583,5618,2091,11,7885,3480,859,450,2076,859,0,0,239,211,8,8,153,439,16,50,56,136,217,164,400,101,165,171,87
01454,7087,-386,204.95,34.6,2743,-,0,809,3773,2505,6,6376,2909,1065,431,1403,1063,2,6,177,248,5,2,99,295,10,22,41,84,67,88,332,92,147,124,5
01455,4042,-298,87.29,46.3,1639,-,0,402,2162,1478,3,3600,1734,680,186,866,678,2,3,89,94,0,3,39,145,6,9,65,96,44,56,163,56,90,94,2
01456,3328,-411,249.71,13.3,1332,-,0,342,1731,1255,29,3282,1612,548,333,729,548,0,6,146,181,1,3,26,82,4,1,10,32,70,58,129,87,127,100,1
01457,4532,-644,1049.24,4.3,2303,-,0,444,2496,1592,28,4884,2503,270,265,1946,262,8,1,224,40,19,0,119,237,9,10,21,757,67,92,180,44,228,182,3
01458,7859,158,247.06,31.8,2983,-,0,1070,4592,2197,72,8051,3814,914,938,1885,914,0,0,249,689,0,20,67,326,12,9,45,298,130,306,324,78,138,132,77
01459,10956,-672,677.16,16.2,4301,-,0,1265,6025,3666,12,10975,5390,1742,659,2869,1742,0,4,294,361,10,3,264,592,26,20,56,461,132,238,456,155,262,204,110
01460,11545,-807,237.18,48.7,4416,-,6869,1639,6970,2936,14,11353,5989,1072,692,4150,1072,0,0,304,388,10,6,85,578,30,24,35,420,149,184,427,66,198,1948,65
01461,5477,-230,108.7,50.4,2015,-,0,772,3096,1609,4,5151,2691,1275,256,1142,1275,0,9,129,118,4,1,23,284,8,15,17,160,57,106,164,52,117,138,14
01462,2814,-133,665.52,4.2,1199,-,0,324,1637,853,4,2950,1572,358,334,876,358,0,22,79,233,4,2,37,89,5,1,10,108,53,71,238,35,114,113,0
01463,1394,-425,571.31,2.4,794,-,0,130,964,294,16,1538,1022,70,326,624,70,0,0,291,35,1,0,70,42,5,2,5,271,7,45,32,13,42,90,1
01464,3832,-406,224.83,17,1601,-,0,400,1927,1505,2,3758,1936,753,268,906,753,0,7,183,78,3,0,57,190,8,15,20,55,37,44,219,61,97,103,6
01465,3565,-387,131.2,27.2,1329,-,0,385,1978,1202,2,3484,1833,802,166,859,802,0,0,82,84,4,4,52,183,8,1,3,85,33,64,190,57,77,102,2
01468,3775,-371,644.2,5.9,1685,-,0,365,2032,1378,19,3838,1921,468,490,952,468,0,1,249,240,9,1,62,155,11,3,54,80,63,62,202,46,79,134,2
01469,5178,-334,672.14,7.7,2194,-,0,548,2870,1760,19,5183,2388,577,291,1508,576,1,9,219,63,8,1,104,259,23,4,63,113,82,208,289,54,142,166,4
01470,995,-75,275.64,3.6,486,-,0,53,696,246,4,1023,558,57,156,343,57,0,2,137,17,2,0,54,34,7,0,19,42,8,58,34,12,16,59,0
01471,1907,-199,594.87,3.2,926,-,0,176,1066,665,16,1925,1019,198,305,514,198,0,5,248,52,1,1,29,72,11,2,18,53,15,53,88,28,67,77,1
01472,1710,-242,767.03,2.2,780,-,0,193,897,620,3,1772,950,318,118,508,316,2,0,78,40,4,0,12,59,5,0,13,55,19,71,97,30,68,79,2
01481,5078,-630,369.68,13.7,2208,-,0,479,2658,1941,59,4883,2154,510,609,1018,198,312,3,161,445,17,0,49,204,22,2,5,109,60,110,190,44,77,146,0
01482,3717,-555,627.31,5.9,1512,-,0,357,2071,1289,14,3592,1673,614,225,830,372,242,3,171,51,2,1,44,105,8,2,6,84,25,146,174,52,60,123,2
01483,3656,-546,454.53,8,1520,-,0,392,1927,1337,11,3658,1823,739,281,791,500,239,0,194,87,8,1,38,137,17,2,7,88,21,90,107,76,102,105,4
01484,7964,-776,472.53,16.9,3534,-,0,828,4284,2850,3,7969,3695,753,502,2396,381,372,3,286,213,33,6,199,563,45,25,89,246,133,178,409,93,196,214,11
01485,1369,-142,280.04,4.9,579,-,0,157,741,471,1,1357,658,224,73,357,170,54,0,44,29,0,0,17,23,4,0,1,35,14,40,96,30,35,62,4
01486,3084,-337,590.86,5.2,1304,-,0,371,1656,1057,24,3036,1553,471,295,781,337,134,8,223,64,5,3,66,155,12,4,21,79,44,57,118,46,92,84,1
01487,3780,-250,353.31,10.7,1619,-,0,453,2275,1052,13,3902,2033,577,333,1105,491,86,3,294,36,17,2,68,207,26,8,35,95,43,97,189,67,120,148,1
01511,2825,-115,590,4.8,1220,-,0,435,1776,614,119,2927,1773,554,579,634,203,351,0,145,434,4,3,47,80,6,1,3,42,16,61,126,89,78,82,2
01512,4168,-414,401.56,10.4,1868,-,0,504,2516,1148,100,4229,2150,404,519,1187,240,164,12,217,290,24,2,100,215,36,10,63,84,62,108,212,80,106,109,16
01513,1974,-315,398.55,5,817,-,0,207,1057,710,2,1938,883,170,96,610,168,2,1,76,19,3,0,34,97,7,4,18,43,19,35,179,42,50,82,4
01514,9125,-690,1115.68,8.2,3952,-,0,1174,5375,2576,113,9073,4861,1163,1248,2429,492,671,11,499,738,18,11,185,569,41,10,58,180,121,194,396,133,272,259,3
01516,4378,-472,520.67,8.4,1854,-,0,528,2658,1192,18,4283,2265,606,366,1287,592,14,1,279,86,2,1,96,309,17,10,38,121,83,72,203,87,134,116,4
01517,3078,-332,81.33,37.8,1445,-,0,316,1816,946,23,3113,1943,681,252,1003,1,680,0,159,93,6,0,105,133,7,6,19,219,47,97,104,68,73,125,1
01518,2590,-361,76.49,33.9,1313,-,0,241,1465,884,11,2659,1651,538,286,821,0,538,5,236,45,6,2,65,125,11,0,19,111,34,89,151,39,82,93,0
01519,3037,-202,105.69,28.7,1363,-,0,342,1665,1030,20,3003,1736,492,317,923,3,489,1,193,123,3,2,68,160,8,1,8,238,42,62,113,44,89,88,1
01520,2677,-107,574.27,4.7,1224,-,0,328,1738,611,20,2727,1589,303,307,953,303,0,3,183,121,25,0,82,103,9,4,127,74,24,76,174,83,116,81,1
01543,21575,-1244,438.36,49.2,8725,-,14012,2720,12903,5950,41,20818,9997,1558,1911,6219,1558,0,3,764,1144,24,42,536,1510,143,52,80,521,305,321,937,126,430,1216,285
01544,5646,-576,716.6,7.9,2358,-,0,573,2964,2109,15,5822,2789,703,865,1207,701,2,0,143,722,7,6,99,242,20,6,9,98,51,96,211,70,128,171,7
01545,13045,-386,737.01,17.7,5759,-,6499,1535,8070,3440,62,13432,7434,1505,1536,4353,999,506,13,623,900,28,5,556,911,86,36,100,937,254,259,510,132,332,235,12
01546,4551,-474,402.73,11.3,1784,-,0,554,2497,1500,6,4429,2107,792,348,967,792,0,4,125,219,0,0,29,186,16,2,33,74,56,96,192,66,107,110,0
01547,5358,-395,287.04,18.7,2069,-,0,630,3025,1703,10,5207,2760,1198,225,1334,1189,9,0,143,82,1,2,134,267,25,12,22,104,63,104,251,113,116,121,2
01549,5435,-546,190.89,28.5,1956,-,0,660,3079,1696,10,5259,2753,1164,362,1219,1164,0,3,123,236,5,3,187,226,9,4,129,69,48,95,132,76,122,119,3
01550,3428,-271,527.54,6.5,1367,-,0,344,1779,1305,6,3427,1630,533,137,939,533,0,0,62,75,9,8,54,196,7,0,9,39,35,81,282,36,96,96,12
01552,5892,-501,404.99,14.5,2415,-,0,671,3268,1953,137,6054,3159,964,822,1364,606,358,2,235,585,4,0,151,244,17,6,31,110,49,77,295,142,119,123,5
01555,22265,-1383,1332.32,16.7,9617,-,11425,2751,12560,6949,59,22002,9577,814,1586,6966,811,3,7,908,671,60,28,391,1382,210,61,136,496,351,489,1538,111,513,1260,151
01559,10041,-717,505.74,19.9,4010,-,0,1226,5582,3233,153,10214,5310,1737,1400,2162,1071,666,9,504,887,9,1,171,476,36,20,71,113,106,200,352,199,202,215,2
01560,3028,-338,766.89,3.9,1376,-,0,269,1593,1166,8,3042,1382,305,243,832,304,1,1,151,91,1,1,37,159,7,1,3,57,50,83,236,26,72,100,1
01561,4301,-288,362.45,11.9,1877,-,0,553,2550,1198,98,4429,2447,578,755,1098,363,215,0,249,506,10,1,64,237,27,7,62,74,37,92,138,111,90,158,6
01562,1135,-89,308.12,3.7,516,-,0,109,643,383,2,1113,543,99,117,327,99,0,0,56,61,0,0,9,38,3,0,0,38,7,34,112,12,19,55,0
01563,4939,-568,637.06,7.8,2228,-,0,534,2964,1441,213,4966,2753,703,904,1135,374,329,1,267,636,8,0,52,245,21,32,22,117,48,92,182,93,116,115,3
01564,7933,-459,343.62,23.1,2967,-,0,1059,4554,2318,14,8156,4329,1617,517,2108,1588,29,0,259,258,0,5,275,329,42,59,80,145,89,184,284,116,285,215,87
01571,4528,-243,233.54,19.4,1944,-,0,447,2525,1556,21,4248,1867,556,291,1014,318,238,0,240,51,2,6,46,151,3,4,9,66,62,91,331,36,98,111,4
01575,3232,-241,205.04,15.8,1226,-,0,350,1633,1249,8,3536,1814,447,129,1228,447,0,0,105,24,1,2,98,136,7,15,6,233,39,78,398,28,99,89,9
01578,19376,-1372,425.75,45.5,8412,-,6399,1917,10852,6600,81,19399,7750,795,2231,4485,525,270,36,609,1586,31,9,435,990,71,30,44,476,186,383,900,89,379,493,208
01581,4890,-350,404.56,12.1,1972,-,0,554,2751,1585,11,5258,3166,1056,606,1315,1032,24,24,294,288,162,3,178,187,27,8,50,78,45,100,209,101,140,189,27
